zona_de_ocurrencia,total,hombre,mujer,ignorado,fuente_cuadro
Total,1769.0,1296,471,2,cuadro 46
1,222.0,155,67,0,cuadro 46
2,37.0,27,10,0,cuadro 46
3,66.0,38,28,0,cuadro 46
4,24.0,22,2,0,cuadro 46
5,56.0,36,20,0,cuadro 46
6,112.0,79,33,0,cuadro 46
7,248.0,175,72,1,cuadro 46
8,20.0,12,8,0,cuadro 46
9,84.0,68,16,0,cuadro 46
10,87.0,61,26,0,cuadro 46
11,102.0,89,13,0,cuadro 46
12,272.0,217,55,0,cuadro 46
13,104.0,69,35,0,cuadro 46
14,7.0,6,1,0,cuadro 46
15,28.0,22,6,0,cuadro 46
16,25.0,18,7,0,cuadro 46
17,32.0,23,9,0,cuadro 46
18,167.0,122,45,0,cuadro 46
19,15.0,9,5,1,cuadro 46
21,38.0,30,8,0,cuadro 46
24,4.0,3,1,0,cuadro 46
25,9.0,7,2,0,cuadro 46
Ignorada,10.0,8,2,0,cuadro 46
