tipo_de_accidente_y_sexo,total,lunes,martes,miercoles,jueves,viernes,sabado,domingo,fuente_cuadro
Total,8907.0,1251,1036,975,1038,1215,1691,1701,cuadro 37
Hombre,6446.0,888,757,718,756,885,1233,1209,cuadro 37
Mujer,2445.0,362,275,255,280,329,458,486,cuadro 37
Ignorado,16.0,1,4,2,2,1,0,6,cuadro 37
Colisión,5289.0,751,628,619,652,696,974,969,cuadro 37
Hombre,3931.0,546,487,473,468,529,730,698,cuadro 37
Mujer,1355.0,205,141,145,182,167,244,271,cuadro 37
Ignorado,3.0,0,0,1,2,0,0,0,cuadro 37
Atropello,1495.0,205,181,159,181,213,280,276,cuadro 37
Hombre,986.0,128,118,96,124,133,199,188,cuadro 37
Mujer,499.0,76,59,62,57,79,81,85,cuadro 37
Ignorado,10.0,1,4,1,0,1,0,3,cuadro 37
Derrape,1027.0,159,108,85,98,131,209,237,cuadro 37
Hombre,820.0,122,74,70,81,114,172,187,cuadro 37
Mujer,207.0,37,34,15,17,17,37,50,cuadro 37
Vuelco,341.0,39,59,28,23,59,58,75,cuadro 37
Hombre,199.0,24,34,22,19,29,26,45,cuadro 37
Mujer,142.0,15,25,6,4,30,32,30,cuadro 37
Choque,321.0,47,15,27,16,70,70,76,cuadro 37
Hombre,216.0,34,8,22,15,46,49,42,cuadro 37
Mujer,103.0,13,7,5,1,24,21,32,cuadro 37
Ignorado,2.0,0,0,0,0,0,0,2,cuadro 37
Embarrancó,262.0,25,21,40,52,18,72,34,cuadro 37
Hombre,164.0,17,17,22,36,9,39,24,cuadro 37
Mujer,97.0,8,4,18,16,9,33,9,cuadro 37
Ignorado,1.0,0,0,0,0,0,0,1,cuadro 37
Encunetó,6.0,0,0,1,0,5,0,0,cuadro 37
Hombre,5.0,0,0,0,0,5,0,0,cuadro 37
Mujer,1.0,0,0,1,0,0,0,0,cuadro 37
Caída,1.0,0,0,0,1,0,0,0,cuadro 37
Mujer,1.0,0,0,0,1,0,0,0,cuadro 37
Ignorado,165.0,25,24,16,15,23,28,34,cuadro 37
Hombre,125.0,17,19,13,13,20,18,25,cuadro 37
Mujer,40.0,8,5,3,2,3,10,9,cuadro 37
